"index","name","C1","C2","C3","C4","C5","C6","U1","U2"
1,"H hydrogen",1.400E-03,,1.520E-03,,,,,
2,"He helium",8.000E-09,,,,,,,
3,"Li lithium",2.000E-05,2.000E-05,1.800E-05,1.300E-05,1.370E-05,,2.000E-05,2.200E-05
4,"Be beryllium",2.800E-06,2.000E-06,2.000E-06,1.500E-06,,,3.000E-06,
5,"B boron",1.000E-05,7.000E-06,9.000E-06,1.000E-05,,,1.500E-05,
6,"C carbon",2.000E-04,,1.800E-04,,3.760E-03,,,
7,"N nitrogen",1.900E-05,2.000E-05,1.900E-05,,,,,
8,"O oxygen",4.610E-01,3.700E-01,4.550E-01,,,,,
9,"F fluorine",5.850E-04,4.600E-04,5.440E-04,,5.250E-04,,,
10,"Ne neon",5.000E-09,,,,,,,
11,"Na sodium",2.360E-02,2.300E-02,2.700E-02,2.300E-02,2.440E-02,3.100E-02,2.890E-02,2.570E-02
12,"Mg magnesium",2.330E-02,2.800E-02,2.764E-02,3.200E-02,2.370E-02,1.690E-02,1.330E-02,1.350E-02
13,"Al aluminium",8.230E-02,8.000E-02,8.300E-02,8.410E-02,8.305E-02,8.520E-02,8.040E-02,7.740E-02
14,"Si silicon",2.820E-01,2.700E-01,2.720E-01,2.677E-01,2.810E-01,2.950E-01,3.080E-01,3.040E-01
15,"P phosphorus",1.050E-03,1.000E-03,1.120E-03,,7.630E-04,8.300E-04,,
16,"S sulfur",3.500E-04,3.000E-04,3.400E-04,,8.810E-04,,,
17,"Cl chlorine",1.450E-04,1.900E-04,1.260E-04,,1.900E-03,,,
18,"Ar argon",3.500E-06,,,,,,,
19,"K potassium",2.090E-02,1.700E-02,1.840E-02,9.100E-03,1.760E-02,1.700E-02,2.800E-02,2.570E-02
20,"Ca calcium",4.150E-02,5.100E-02,4.660E-02,5.290E-02,4.920E-02,3.400E-02,3.000E-02,2.950E-02
21,"Sc scandium",2.200E-05,2.200E-05,2.500E-05,3.000E-05,2.140E-05,,1.100E-05,
22,"Ti titanium",5.650E-03,8.600E-03,6.320E-03,5.400E-03,5.250E-03,3.600E-03,3.000E-03,3.120E-03
23,"V vanadium",1.200E-04,1.700E-04,1.360E-04,2.300E-04,1.340E-04,,6.000E-05,5.300E-05
24,"Cr chromium",1.020E-04,9.600E-05,1.220E-04,1.850E-04,1.460E-04,5.600E-05,3.500E-05,3.500E-05
25,"Mn manganese",9.500E-04,1.000E-03,1.060E-03,1.040E-03,8.470E-04,1.000E-03,6.000E-04,5.270E-04
26,"Fe iron",5.630E-02,5.800E-02,6.200E-02,7.070E-02,4.920E-02,3.800E-02,3.500E-02,3.090E-02
27,"Co cobalt",2.500E-05,2.800E-05,2.900E-05,2.900E-05,2.540E-05,,1.000E-05,1.200E-05
28,"Ni nickel",8.400E-05,7.200E-05,9.900E-05,1.050E-04,6.950E-05,3.500E-05,2.000E-05,1.900E-05
29,"Cu copper",6.000E-05,5.800E-05,6.800E-05,7.500E-05,4.700E-05,,2.500E-05,1.400E-05
30,"Zn zinc",7.000E-05,8.200E-05,7.600E-05,8.000E-05,7.600E-05,,7.100E-05,5.200E-05
31,"Ga gallium",1.900E-05,1.700E-05,1.900E-05,1.800E-05,1.860E-05,,1.700E-05,1.400E-05
32,"Ge germanium",1.500E-06,1.300E-06,1.500E-06,1.600E-06,1.320E-06,,1.600E-06,
33,"As arsenic",1.800E-06,2.000E-06,1.800E-06,1.000E-06,2.030E-06,,1.500E-06,
34,"Se selenium",5.000E-08,5.000E-08,5.000E-08,5.000E-08,1.530E-07,,5.000E-08,
35,"Br bromine",2.400E-06,4.000E-06,2.500E-06,,6.950E-06,,,
36,"Kr krypton",1.000E-10,,,,,,,
37,"Rb rubidium",9.000E-05,7.000E-05,7.800E-05,3.200E-05,7.900E-05,6.100E-05,1.200E-04,1.100E-04
38,"Sr strontium",3.700E-04,4.500E-04,3.840E-04,2.600E-04,2.930E-04,5.030E-04,3.500E-04,3.160E-04
39,"Y yttrium",3.300E-05,3.500E-07,3.100E-05,2.000E-05,,1.400E-05,2.200E-05,2.100E-05
40,"Zr zirconium",1.650E-04,1.400E-04,1.620E-04,1.000E-04,,2.100E-04,1.900E-04,2.400E-04
41,"Nb niobium",2.000E-05,2.000E-05,2.000E-05,1.100E-05,,1.300E-05,2.500E-05,2.600E-05
42,"Mo molybdenum",1.200E-06,1.200E-06,1.200E-06,1.000E-06,,,1.500E-06,
43,"Tc technetium",,,,,,,,
44,"Ru ruthenium",1.000E-09,,1.000E-10,,,,,
45,"Rh rhodium",1.000E-09,,1.000E-10,,,,,
46,"Pd palladium",1.500E-08,3.000E-09,1.500E-08,1.000E-09,,,5.000E-10,
47,"Ag silver",7.500E-08,8.000E-08,8.000E-08,8.000E-08,6.950E-08,,5.000E-08,
48,"Cd cadmium",1.500E-07,1.800E-07,1.600E-07,9.800E-08,1.000E-07,,9.800E-08,
49,"In indium",2.500E-07,2.000E-07,2.400E-07,5.000E-08,6.950E-08,,5.000E-08,
50,"Sn tin",2.300E-06,1.500E-06,2.100E-06,2.500E-06,,,5.500E-06,
51,"Sb antimony",2.000E-07,2.000E-07,2.000E-07,2.000E-07,2.030E-07,,2.000E-07,
52,"Te tellurium",1.000E-09,,1.000E-09,,2.030E-09,,,
53,"I iodine",4.500E-07,5.000E-07,4.600E-07,,1.540E-06,,,
54,"Xe xenon",3.000E-11,,,,,,,
55,"Cs caesium",3.000E-06,1.600E-06,2.600E-06,1.000E-06,1.310E-06,,3.700E-06,
56,"Ba barium",4.250E-04,3.800E-04,3.900E-04,2.500E-04,5.420E-04,7.070E-04,5.500E-04,1.070E-03
57,"La lanthanum",3.900E-05,5.000E-05,3.500E-05,1.600E-05,2.900E-05,2.800E-05,3.000E-05,3.200E-06
58,"Ce cerium",6.650E-05,8.300E-05,6.600E-05,3.300E-05,5.420E-05,5.700E-05,6.400E-05,6.500E-05
59,"Pr praseodymium",9.200E-06,1.300E-05,9.100E-06,3.900E-06,,,7.100E-06,
60,"Nd neodymium",4.150E-05,4.400E-05,4.000E-05,1.600E-05,2.540E-05,2.300E-05,2.600E-05,2.600E-05
61,"Pm promethium",,,,,,,,
62,"Sm samarium",7.050E-06,7.700E-06,7.000E-06,3.500E-06,5.590E-06,4.100E-06,4.500E-06,4.500E-06
63,"Eu europium",2.000E-06,2.200E-06,2.100E-06,1.100E-06,1.407E-06,1.090E-06,8.800E-07,9.400E-07
64,"Gd gadolinium",6.200E-06,6.300E-06,6.100E-06,3.300E-06,8.140E-06,,3.800E-06,2.800E-06
65,"Tb terbium",1.200E-06,1.000E-06,1.200E-06,6.000E-07,1.020E-06,5.300E-07,6.400E-07,4.800E-07
66,"Dy dysprosium",5.200E-06,8.500E-06,,3.700E-06,6.102E-06,,3.500E-06,
67,"Ho holmium",1.300E-06,1.600E-06,1.300E-06,7.800E-07,1.860E-06,,8.000E-07,6.200E-07
68,"Er erbium",3.500E-06,3.600E-06,3.500E-06,2.200E-06,3.390E-06,,2.300E-06,
69,"Tm thulium",5.200E-07,5.200E-07,5.000E-07,3.200E-07,,2.400E-07,3.300E-07,
70,"Yb ytterbium",3.200E-06,3.400E-06,3.100E-06,2.200E-06,3.390E-06,1.530E-06,2.200E-06,1.500E-06
71,"Lu lutetium",8.000E-07,8.000E-07,,3.000E-07,5.760E-07,2.300E-07,3.200E-07,2.300E-07
72,"Hf hafnium",3.000E-06,4.000E-06,2.800E-06,3.000E-06,3.460E-06,4.700E-06,5.800E-06,5.800E-06
73,"Ta tantalum",2.000E-06,2.400E-06,1.700E-06,1.000E-06,2.203E-06,,2.200E-06,
74,"W tungsten",1.250E-06,1.000E-06,1.200E-06,1.000E-06,1.310E-06,,2.000E-06,
75,"Re rhenium",7.000E-10,4.000E-10,7.000E-10,5.000E-10,1.020E-09,,5.000E-10,
76,"Os osmium",1.500E-09,2.000E-10,5.000E-09,,1.020E-09,,,
77,"Ir iridium",1.000E-09,2.000E-10,1.000E-09,1.000E-10,1.020E-09,,2.000E-11,
78,"Pt platinum",5.000E-09,,1.000E-08,,,,,
79,"Au gold",4.000E-09,2.000E-09,4.000E-09,3.000E-09,4.070E-09,,1.800E-09,
80,"Hg mercury",8.500E-08,2.000E-08,8.000E-08,,,,,
81,"Tl thallium",8.500E-07,4.700E-07,7.000E-07,3.600E-07,,,7.500E-07,5.200E-07
82,"Pb lead",1.400E-05,1.000E-05,1.300E-05,8.000E-06,,1.500E-05,2.000E-05,1.700E-05
83,"Bi bismuth",8.500E-09,4.000E-09,8.000E-09,6.000E-08,,,1.270E-07,
84,"Po polonium",2.000E-16,,,,,,,
85,"At astatine",,,,,,,,
86,"Rn radon",4.000E-19,,,,,,,
87,"Fr francium",,,,,,,,
88,"Ra radium",9.000E-13,,,,,,,
89,"Ac actinium",5.500E-16,,,,,,,
90,"Th thorium",9.600E-06,5.800E-06,8.100E-06,3.500E-06,,5.700E-06,1.070E-05,1.000E-05
91,"Pa protactinium",1.400E-12,,,,,,,
92,"U uranium",2.700E-06,1.600E-06,2.300E-06,9.100E-07,1.200E-06,1.300E-06,2.800E-06,2.500E-06
93,"Np neptunium",,,,,,,,
94,"Pu plutonium",,,,,,,,
