"Z","Element","-5","-4","-3","-2","-1",1,2,3,4,5,6,7,8,9,"Group"
1,"hydrogen",,,,,-1,1,,,,,,,,,1
2,"helium",,,,,,,,,,,,,,,18
3,"lithium",,,,,,1,,,,,,,,,1
4,"beryllium",,,,,,1,2,,,,,,,,2
5,"boron",-5,,,,-1,1,2,3,,,,,,,13
6,"carbon",,-4,-3,-2,-1,1,2,3,4,,,,,,14
7,"nitrogen",,,-3,-2,-1,1,2,3,4,5,,,,,15
8,"oxygen",,,,-2,-1,1,2,,,,,,,,16
9,"fluorine",,,,,-1,,,,,,,,,,17
10,"neon",,,,,,,,,,,,,,,18
11,"sodium",,,,,-1,1,,,,,,,,,1
12,"magnesium",,,,,,1,2,,,,,,,,2
13,"aluminium",,,,-2,-1,1,2,3,,,,,,,13
14,"silicon",,-4,-3,-2,-1,1,2,3,4,,,,,,14
15,"phosphorus",,,-3,-2,-1,1,2,3,4,5,,,,,15
16,"sulfur",,,,-2,-1,1,2,3,4,5,6,,,,16
17,"chlorine",,,,,-1,1,2,3,4,5,6,7,,,17
18,"argon",,,,,,,,,,,,,,,18
19,"potassium",,,,,-1,1,,,,,,,,,1
20,"calcium",,,,,,1,2,,,,,,,,2
21,"scandium",,,,,,1,2,3,,,,,,,3
22,"titanium",,,,-2,-1,1,2,3,4,,,,,,4
23,"vanadium",,,-3,,-1,1,2,3,4,5,,,,,5
24,"chromium",,-4,,-2,-1,1,2,3,4,5,6,,,,6
25,"manganese",,,-3,-2,-1,1,2,3,4,5,6,7,,,7
26,"iron",,-4,,-2,-1,1,2,3,4,5,6,7,,,8
27,"cobalt",,,-3,,-1,1,2,3,4,5,,,,,9
28,"nickel",,,,-2,-1,1,2,3,4,,,,,,10
29,"copper",,,,-2,,1,2,3,4,,,,,,11
30,"zinc",,,,-2,,1,2,,,,,,,,12
31,"gallium",-5,-4,,-2,-1,1,2,3,,,,,,,13
32,"germanium",,-4,-3,-2,-1,1,2,3,4,,,,,,14
33,"arsenic",,,-3,-2,-1,1,2,3,4,5,,,,,15
34,"selenium",,,,-2,-1,1,2,3,4,5,6,,,,16
35,"bromine",,,,,-1,1,,3,4,5,,7,,,17
36,"krypton",,,,,,,2,,,,,,,,18
37,"rubidium",,,,,-1,1,,,,,,,,,1
38,"strontium",,,,,,1,2,,,,,,,,2
39,"yttrium",,,,,,1,2,3,,,,,,,3
40,"zirconium",,,,-2,,1,2,3,4,,,,,,4
41,"niobium",,,-3,,-1,1,2,3,4,5,,,,,5
42,"molybdenum",,-4,,-2,-1,1,2,3,4,5,6,,,,6
43,"technetium",,,-3,,-1,1,2,3,4,5,6,7,,,7
44,"ruthenium",,-4,,-2,,1,2,3,4,5,6,7,8,,8
45,"rhodium",,,-3,,-1,1,2,3,4,5,6,,,,9
46,"palladium",,,,,,1,2,3,4,,,,,,10
47,"silver",,,,-2,-1,1,2,3,,,,,,,11
48,"cadmium",,,,-2,,1,2,,,,,,,,12
49,"indium",-5,,,-2,-1,1,2,3,,,,,,,13
50,"tin",,-4,-3,-2,-1,1,2,3,4,,,,,,14
51,"antimony",,,-3,-2,-1,1,2,3,4,5,,,,,15
52,"tellurium",,,,-2,-1,1,2,3,4,5,6,,,,16
53,"iodine",,,,,-1,1,,3,4,5,6,7,,,17
54,"xenon",,,,,,,2,,4,,6,,8,,18
55,"caesium",,,,,-1,1,,,,,,,,,1
56,"barium",,,,,,1,2,,,,,,,,2
57,"lanthanum",,,,,,1,2,3,,,,,,,3
58,"cerium",,,,,,,2,3,4,,,,,,
59,"praseodymium",,,,,,,2,3,4,5,,,,,
60,"neodymium",,,,,,,2,3,4,,,,,,
61,"promethium",,,,,,,2,3,,,,,,,
62,"samarium",,,,,,,2,3,,,,,,,
63,"europium",,,,,,,2,3,,,,,,,
64,"gadolinium",,,,,,1,2,3,,,,,,,
65,"terbium",,,,,,1,2,3,4,,,,,,
66,"dysprosium",,,,,,,2,3,4,,,,,,
67,"holmium",,,,,,,2,3,,,,,,,
68,"erbium",,,,,,,2,3,,,,,,,
69,"thulium",,,,,,,2,3,,,,,,,
70,"ytterbium",,,,,,,2,3,,,,,,,
71,"lutetium",,,,,,,2,3,,,,,,,
72,"hafnium",,,,-2,,1,2,3,4,,,,,,4
73,"tantalum",,,-3,,-1,1,2,3,4,5,,,,,5
74,"tungsten",,-4,,-2,-1,1,2,3,4,5,6,,,,6
75,"rhenium",,,-3,,-1,1,2,3,4,5,6,7,,,7
76,"osmium",,-4,,-2,-1,1,2,3,4,5,6,7,8,,8
77,"iridium",,,-3,,-1,1,2,3,4,5,6,7,8,9,9
78,"platinum",,,-3,-2,-1,1,2,3,4,5,6,,,,10
79,"gold",,,-3,-2,-1,1,2,3,,5,,,,,11
80,"mercury",,,,-2,,1,2,,,,,,,,12
81,"thallium",-5,,,-2,-1,1,2,3,,,,,,,13
82,"lead",,-4,,-2,-1,1,2,3,4,,,,,,14
83,"bismuth",,,-3,-2,-1,1,2,3,4,5,,,,,15
84,"polonium",,,,-2,,,2,,4,5,6,,,,16
85,"astatine",,,,,-1,1,,3,,5,,7,,,17
86,"radon",,,,,,,2,,,,6,,,,18
87,"francium",,,,,,1,,,,,,,,,1
88,"radium",,,,,,,2,,,,,,,,2
89,"actinium",,,,,,,,3,,,,,,,3
90,"thorium",,,,,,1,2,3,4,,,,,,
91,"protactinium",,,,,,,,3,4,5,,,,,
92,"uranium",,,,,,1,2,3,4,5,6,,,,
93,"neptunium",,,,,,,2,3,4,5,6,7,,,
94,"plutonium",,,,,,,2,3,4,5,6,7,,,
95,"americium",,,,,,,2,3,4,5,6,7,,,
96,"curium",,,,,,,,3,4,,6,,,,
97,"berkelium",,,,,,,,3,4,,,,,,
98,"californium",,,,,,,2,3,4,,,,,,
99,"einsteinium",,,,,,,2,3,4,,,,,,
100,"fermium",,,,,,,2,3,,,,,,,
101,"mendelevium",,,,,,,2,3,,,,,,,
102,"nobelium",,,,,,,2,3,,,,,,,
103,"lawrencium",,,,,,,,3,,,,,,,
104,"rutherfordium",,,,,,,,,4,,,,,,4
105,"dubnium",,,,,,,,,,5,,,,,5
106,"seaborgium",,,,,,,,,,,6,,,,6
107,"bohrium",,,,,,,,,,,,7,,,7
108,"hassium",,,,,,,,,,,,,8,,8
109,"meitnerium",,,,,,,,,,,,,,,9
110,"darmstadtium",,,,,,,,,,,,,,,10
111,"roentgenium",,,,,,,,,,,,,,,11
112,"copernicium",,,,,,,,,,,,,,,12
113,"nihonium",,,,,,,,,,,,,,,13
114,"flerovium",,,,,,,,,,,,,,,14
115,"moscovium",,,,,,,,,,,,,,,15
116,"livermorium",,,,,,,,,,,,,,,16
117,"tennessine",,,,,,,,,,,,,,,17
118,"oganesson",,,,,,,,,,,,,,,18
